date,c1,c2,c3,c4,c5,c6,c7,c8,h1
29Jun2020,3,2,2,4,1,1,2,2,2
30Jun2020,3,2,2,4,1,1,2,2,2
01Jul2020,3,2,2,4,1,1,2,2,2
02Jul2020,3,2,2,4,1,1,2,2,2
03Jul2020,3,2,2,4,1,1,2,2,2
04Jul2020,3,2,2,4,1,1,2,2,2
05Jul2020,3,2,2,4,1,1,2,2,2
06Jul2020,3,2,2,4,1,1,1,2,2
07Jul2020,3,2,2,4,1,1,1,2,2
08Jul2020,3,2,2,4,1,1,1,2,2
09Jul2020,3,2,2,4,1,1,1,2,2
10Jul2020,3,2,2,4,1,1,1,2,2
11Jul2020,3,2,2,4,1,1,1,2,2
12Jul2020,3,2,2,4,1,1,1,2,2
13Jul2020,3,2,2,4,1,1,1,2,2
14Jul2020,3,2,2,4,1,1,1,2,2
15Jul2020,3,2,2,4,1,1,1,2,2
16Jul2020,3,2,2,4,1,1,1,2,2
17Jul2020,3,2,2,4,1,1,1,2,2
18Jul2020,3,2,2,4,1,1,1,2,2
19Jul2020,3,2,2,4,1,1,1,2,2
20Jul2020,3,2,2,4,1,1,1,2,2
21Jul2020,3,2,2,4,1,1,1,2,2
22Jul2020,3,2,2,4,1,1,1,2,2
23Jul2020,3,2,2,4,1,1,1,2,2
24Jul2020,3,2,2,4,1,1,1,2,2
25Jul2020,3,2,2,4,1,1,1,2,2
26Jul2020,3,2,2,4,1,1,1,2,2
27Jul2020,3,2,2,4,1,1,1,2,2
28Jul2020,3,2,2,4,1,1,1,2,2
29Jul2020,3,2,2,4,1,1,1,2,2
30Jul2020,3,2,2,4,1,1,1,2,2
31Jul2020,3,2,2,4,1,1,1,2,2
01Aug2020,3,2,2,4,1,1,2,2,2
02Aug2020,3,2,2,4,1,1,2,2,2
03Aug2020,3,2,2,4,1,1,2,2,2
04Aug2020,3,2,2,4,1,1,2,2,2
05Aug2020,3,2,2,4,1,1,2,2,2
06Aug2020,3,2,2,4,1,1,2,2,2
07Aug2020,3,2,2,4,1,1,2,2,2
08Aug2020,3,2,2,4,1,1,2,2,2
09Aug2020,3,2,2,4,1,1,2,2,2
10Aug2020,3,2,2,4,1,1,2,2,2
11Aug2020,3,2,2,4,1,1,2,2,2
12Aug2020,3,2,2,4,1,1,2,2,2
13Aug2020,2,2,2,4,1,1,2,2,2
14Aug2020,2,2,2,4,1,1,2,2,2
15Aug2020,2,2,2,4,1,1,2,2,2
16Aug2020,2,2,2,4,1,1,2,2,2
17Aug2020,2,2,2,4,1,1,2,2,2
18Aug2020,2,2,2,4,1,1,2,2,2
19Aug2020,2,2,2,4,1,1,2,2,2
20Aug2020,2,2,2,4,1,1,2,2,2
21Aug2020,2,2,2,4,1,1,2,2,2
22Aug2020,2,2,2,4,1,1,2,2,2
23Aug2020,2,2,2,4,1,1,2,2,2
24Aug2020,2,2,2,4,1,1,2,2,2
25Aug2020,2,2,2,4,1,1,2,2,2
26Aug2020,2,2,2,4,1,1,2,2,2
27Aug2020,2,2,2,4,1,1,2,2,2
28Aug2020,2,2,2,4,1,1,2,2,2
29Aug2020,2,2,2,4,1,1,2,2,2
30Aug2020,2,2,2,4,1,1,2,2,2
31Aug2020,2,2,2,4,1,1,2,2,2
01Sep2020,1,2,2,4,1,1,2,2,2
02Sep2020,1,2,2,4,1,1,2,2,2
03Sep2020,1,2,2,4,1,1,2,2,2
04Sep2020,1,2,2,4,1,1,2,2,2
05Sep2020,1,2,2,4,1,1,2,2,2
06Sep2020,1,2,2,4,1,1,2,2,2
07Sep2020,1,2,2,4,1,1,2,2,2
08Sep2020,1,2,2,4,1,1,2,2,2
09Sep2020,1,2,2,4,1,1,2,2,2
10Sep2020,1,2,2,4,1,1,2,2,2
11Sep2020,1,2,2,4,1,1,2,2,2
12Sep2020,1,2,2,4,1,1,2,2,2
