date,c1,c2,c3,c4,c5,c6,c7,c8,h1
25Nov2020,1,1,1,1,1,1,0,1,1
26Nov2020,1,1,1,1,1,1,0,1,1
27Nov2020,1,1,1,1,1,1,0,1,1
28Nov2020,1,1,1,1,1,1,0,1,1
29Nov2020,1,1,1,1,1,1,0,1,1
30Nov2020,1,1,1,1,1,1,0,1,1
01Dec2020,1,1,1,1,1,1,0,1,1
02Dec2020,1,1,1,1,1,1,0,1,1
03Dec2020,1,1,1,1,1,,0,1,1
04Dec2020,1,1,1,1,1,,0,1,1
05Dec2020,1,1,1,1,1,,0,1,1
06Dec2020,1,1,1,1,1,,0,1,1
07Dec2020,1,1,1,1,1,,0,1,1
08Dec2020,1,1,1,1,1,1,0,1,1
09Dec2020,1,1,1,1,1,1,0,1,1
10Dec2020,1,1,1,1,1,1,0,1,1
11Dec2020,1,1,1,1,1,1,0,1,1
12Dec2020,1,1,1,1,1,1,0,1,1
13Dec2020,1,1,1,1,1,1,0,1,1
14Dec2020,0,1,1,1,1,1,0,1,1
15Dec2020,0,1,1,1,1,1,0,1,1
16Dec2020,0,1,1,1,1,1,0,1,1
17Dec2020,0,1,1,1,1,1,0,1,1
18Dec2020,0,1,1,1,1,1,0,1,1
19Dec2020,0,0,1,1,1,0,0,1,1
20Dec2020,0,0,1,1,1,0,0,1,1
21Dec2020,0,0,1,1,1,0,0,1,1
22Dec2020,0,0,1,1,1,0,0,1,1
23Dec2020,0,0,1,1,1,0,0,1,1
24Dec2020,0,0,1,1,1,0,0,1,1
25Dec2020,0,0,1,0,1,0,0,1,1
26Dec2020,0,0,1,1,1,0,0,1,1
27Dec2020,0,0,1,1,1,0,0,1,1
28Dec2020,0,0,1,1,1,0,0,1,1
29Dec2020,0,0,1,1,1,0,0,1,1
30Dec2020,0,0,1,1,1,0,0,1,1
31Dec2020,0,0,1,1,1,0,0,1,1
01Jan2021,0,0,1,1,1,0,0,1,1
02Jan2021,0,0,1,1,1,0,0,1,1
03Jan2021,0,0,1,1,1,0,0,1,1
04Jan2021,0,0,1,1,1,0,0,1,1
05Jan2021,1,1,1,1,1,1,1,1,1
06Jan2021,1,1,1,1,1,1,1,1,1
07Jan2021,1,1,1,1,1,1,1,1,1
08Jan2021,1,1,1,1,1,1,1,1,1
09Jan2021,1,1,1,1,1,1,1,1,1
10Jan2021,1,1,1,1,1,1,1,1,1
11Jan2021,1,1,1,1,1,1,1,1,1
12Jan2021,1,1,1,1,1,1,1,1,1
13Jan2021,1,1,1,1,1,1,1,1,1
14Jan2021,1,1,1,1,1,1,1,1,1
15Jan2021,1,1,1,1,1,1,1,1,1
16Jan2021,1,1,1,1,1,1,1,1,1
17Jan2021,1,1,1,1,1,1,1,1,1
18Jan2021,1,1,1,1,1,1,1,1,1
19Jan2021,1,1,1,1,1,1,1,1,1
20Jan2021,1,1,1,1,1,1,1,1,1
21Jan2021,1,1,1,1,1,1,1,1,1
22Jan2021,1,1,1,1,1,1,1,1,1
23Jan2021,1,1,1,1,1,1,1,1,1
24Jan2021,1,1,1,1,1,1,1,1,1
25Jan2021,1,1,1,1,1,1,1,1,1
26Jan2021,1,1,1,1,1,1,1,1,1
27Jan2021,1,1,1,1,1,1,1,1,1
28Jan2021,1,1,1,1,1,1,1,1,1
29Jan2021,1,1,1,1,1,1,1,1,1
30Jan2021,1,1,1,1,1,1,1,1,1
31Jan2021,1,1,1,1,1,1,1,1,1
01Feb2021,1,1,1,1,1,1,1,1,1
02Feb2021,1,1,1,1,1,1,1,1,1
03Feb2021,1,1,1,1,1,1,1,1,1
04Feb2021,1,1,1,1,1,1,1,1,1
05Feb2021,1,1,1,1,1,1,1,1,1
06Feb2021,1,1,1,1,1,1,1,1,1
07Feb2021,1,1,1,1,1,1,1,1,1
08Feb2021,1,1,1,1,1,1,1,1,1
09Feb2021,1,1,1,1,1,1,1,1,1
10Feb2021,1,1,1,1,1,1,1,1,1
11Feb2021,1,1,1,1,1,1,1,1,1
12Feb2021,1,1,1,1,1,1,1,1,1
13Feb2021,1,1,1,1,1,1,1,1,1
14Feb2021,1,1,1,1,1,1,1,1,1
15Feb2021,1,1,1,1,1,1,1,1,1
16Feb2021,1,1,1,1,1,1,1,1,1
17Feb2021,1,1,1,1,1,1,1,1,1
18Feb2021,1,1,1,1,1,1,1,1,1
19Feb2021,1,1,1,1,1,1,1,1,1
20Feb2021,1,1,1,1,1,1,1,1,1
21Feb2021,1,1,1,1,1,1,1,1,1
22Feb2021,0,1,1,1,1,1,1,1,1
23Feb2021,0,1,1,1,1,1,1,1,1
24Feb2021,0,1,1,1,1,1,1,1,1
25Feb2021,0,1,1,1,1,1,1,1,1
26Feb2021,0,1,1,1,1,1,1,1,1
27Feb2021,0,1,1,1,1,1,1,1,1
28Feb2021,0,1,1,1,1,1,1,1,1
01Mar2021,0,1,1,1,1,1,1,1,1
02Mar2021,0,1,1,1,1,1,1,1,1
03Mar2021,0,1,1,1,1,1,1,1,1
04Mar2021,0,1,1,1,1,1,1,1,1
05Mar2021,0,1,1,1,1,1,1,1,1
06Mar2021,0,1,1,1,1,1,1,1,1
07Mar2021,0,1,1,1,1,1,1,1,1
08Mar2021,0,1,1,1,1,1,1,1,1
09Mar2021,0,1,1,1,1,1,1,1,1
10Mar2021,0,1,1,1,1,1,1,1,1
11Mar2021,0,1,1,1,1,1,1,1,1
12Mar2021,0,1,1,1,1,1,1,1,1
13Mar2021,0,1,1,1,1,0,1,1,1
14Mar2021,0,1,1,1,1,0,1,1,1
15Mar2021,0,0,1,1,1,0,1,1,1
16Mar2021,0,0,1,1,1,0,1,1,1
17Mar2021,0,0,1,1,1,0,1,1,1
18Mar2021,0,0,1,1,1,0,1,1,1
19Mar2021,0,0,1,1,1,0,1,1,1
20Mar2021,0,0,1,1,1,0,1,1,1
21Mar2021,0,0,1,1,1,0,1,1,1
22Mar2021,0,0,1,1,1,0,1,1,1
23Mar2021,0,0,1,1,1,0,1,1,1
24Mar2021,0,0,1,1,1,0,1,1,1
